name,link,location
KitzSki – Kitzbühel/​Kirchberg,https://www.skiresort.info/ski-resort/kitzski-kitzbuehelkirchberg/,Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Kitzbühel (District) > Kitzbühel > Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Kitzbüheler Alpen > Brixental > Europe > Austria > Salzburg (Salzburger Land) > Pinzgau
Steinplatte Winklmoosalm – Waidring/​Reit im Winkl,https://www.skiresort.info/ski-resort/steinplattewinklmoosalm-waidringreit-im-winkl/,Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Kitzbüheler Alpen > Pillersee Valley (Pillerseetal) > Europe > Germany > Bavaria (Bayern) > Upper Bavaria (Oberbayern) > Chiemgau
Mayrhofen – Penken/​Ahorn/​Rastkogel/​Eggalm (Mountopolis),https://www.skiresort.info/ski-resort/mayrhofen-penkenahornrastkogeleggalm/,Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Schwaz > Zillertal > Mayrhofen-Hippach > Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Schwaz > Zillertal > Tux-Finkenberg
Madonna di Campiglio/​Pinzolo/​Folgàrida/​Marilleva,https://www.skiresort.info/ski-resort/madonna-di-campigliopinzolofolgaridamarilleva/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > Trentino > Val di Sole (Sole Valley) > Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > Trentino > Madonna di Campiglio/​Pinzolo/​Val Rendena
Zillertal Arena – Zell am Ziller/​Gerlos/​Königsleiten/​Hochkrimml,https://www.skiresort.info/ski-resort/zillertal-arena-zell-am-zillergerloskoenigsleitenhochkrimml/,Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Schwaz > Zillertal > Zell-Gerlos
St. Jakob im Defereggental – Brunnalm,https://www.skiresort.info/ski-resort/st-jakob-im-defereggental-brunnalm/,Europe > Austria > Tyrol (Tirol) > Osttirol (East Tyrol) > Deferreggen Valley (Defereggental)
Biberwier – Marienberg,https://www.skiresort.info/ski-resort/biberwier-marienberg/,Europe > Austria > Tyrol (Tirol) > Außerfern > Tiroler Zugspitz Arena
Kronplatz (Plan de Corones),https://www.skiresort.info/ski-resort/kronplatz-plan-de-corones/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Plan de Corones (Kronplatz)
Sillian – Thurntaler (Hochpustertal),https://www.skiresort.info/ski-resort/sillian-thurntaler-hochpustertal/,Europe > Austria > Tyrol (Tirol) > Osttirol (East Tyrol) > East Tyrolean Hochpustertal
Belpiano (Schöneben)/​Malga San Valentino (Haideralm),https://www.skiresort.info/ski-resort/belpiano-schoenebenmalga-san-valentino-haideralm/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Venosta Valley (Vinschgau)
Ski Juwel Alpbachtal Wildschönau,https://www.skiresort.info/ski-resort/ski-juwel-alpbachtal-wildschoenau/,Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Kufstein > Holiday Region Alpbachtal > Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Kufstein > Wildschönau
Val Gardena (Gröden),https://www.skiresort.info/ski-resort/val-gardena-groeden/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Val Gardena (Gröden)
Tauplitz – Bad Mitterndorf,https://www.skiresort.info/ski-resort/tauplitz-bad-mitterndorf/,Europe > Austria > Styria (Steiermark) > Salzkammergut > Ausseerland
Gitschberg Jochtal,https://www.skiresort.info/ski-resort/gitschberg-jochtal/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Eisacktal > Gitschberg-Jochtal
Kleine Scheidegg/​Männlichen – Grindelwald/​Wengen,https://www.skiresort.info/ski-resort/kleine-scheideggmaennlichen-grindelwaldwengen/,Europe > Switzerland > Espace Mittelland > Bern > Bernese Oberland > Jungfrau Region
Loser – Altaussee,https://www.skiresort.info/ski-resort/loser-altaussee/,Europe > Austria > Styria (Steiermark) > Salzkammergut > Ausseerland
Glungezer – Tulfes,https://www.skiresort.info/ski-resort/glungezer-tulfes/,Europe > Austria > Tyrol (Tirol) > Innsbruck > Innsbruck-Land > Hall-Wattens Region
Dorfgastein/​Großarltal,https://www.skiresort.info/ski-resort/grossarltaldorfgastein/,Europe > Austria > Salzburg (Salzburger Land) > Pongau > Grossarltal > Europe > Austria > Salzburg (Salzburger Land) > Pongau > Gastein
Bellwald,https://www.skiresort.info/ski-resort/bellwald/,Europe > Switzerland > Lemanic Region > Valais (Wallis) > Goms
First – Grindelwald,https://www.skiresort.info/ski-resort/first-grindelwald/,Europe > Switzerland > Espace Mittelland > Bern > Bernese Oberland > Jungfrau Region
Ehrwalder Wettersteinbahnen – Ehrwald,https://www.skiresort.info/ski-resort/ehrwalder-wettersteinbahnen-ehrwald/,Europe > Austria > Tyrol (Tirol) > Außerfern > Tiroler Zugspitz Arena
Elm im Sernftal,https://www.skiresort.info/ski-resort/elm-im-sernftal/,Europe > Switzerland > Eastern Switzerland > Glarus > Sernftal
Wildhaus – Gamserrugg (Toggenburg),https://www.skiresort.info/ski-resort/wildhaus-gamserrugg-toggenburg/,Europe > Switzerland > Eastern Switzerland > St. Gallen > Toggenburg
Pizol – Bad Ragaz/​Wangs,https://www.skiresort.info/ski-resort/pizol-bad-ragazwangs/,Europe > Switzerland > Eastern Switzerland > Heidiland
Kitzsteinhorn/​Maiskogel – Kaprun,https://www.skiresort.info/ski-resort/kitzsteinhornmaiskogel-kaprun/,Europe > Austria > Salzburg (Salzburger Land) > Pinzgau > Zell am See-Kaprun
Berwang/​Bichlbach/​Rinnen,https://www.skiresort.info/ski-resort/berwangbichlbachrinnen/,Europe > Austria > Tyrol (Tirol) > Außerfern > Tiroler Zugspitz Arena
San Martino di Castrozza,https://www.skiresort.info/ski-resort/san-martino-di-castrozza/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > Trentino > San Martino di Castrozza/​Passo Rolle/​Primiero/​Vanoi
Big Sky Resort,https://www.skiresort.info/ski-resort/big-sky-resort/,North America > USA > Montana
Hohsaas – Saas-Grund,https://www.skiresort.info/ski-resort/hohsaas-saas-grund/,Europe > Switzerland > Lemanic Region > Valais (Wallis) > Saas-Fee/​Saastal
Turracher Höhe,https://www.skiresort.info/ski-resort/turracher-hoehe/,Europe > Austria > Styria (Steiermark) > Murau > Europe > Austria > Carinthia (Kärnten) > Upper Carinthia (Oberkärnten) > Feldkirchen > Nockberge
Graix  (temporarily closed),https://www.skiresort.info/ski-resort/graix/,Europe > France > Auvergne-Rhône-Alpes > Loire
Serafínov (Skalité)  (temporarily closed),https://www.skiresort.info/ski-resort/serafinov-skalite/,Europe > Slovakia > Žilina (Žilinský kraj)
Trekhgorye,https://www.skiresort.info/ski-resort/trekhgorye/,Russia > Ural Federal District
La Bonade – Grand Combe Chateleu (Val de Morteau),https://www.skiresort.info/ski-resort/la-bonade-grand-combe-chateleu-val-de-morteau/,Europe > France > Bourgogne-Franche-Comté > Doubs
Tajov,https://www.skiresort.info/ski-resort/tajov/,Europe > Slovakia > Banská Bystrica (Banskobystrický kraj)
Sunnerstabacken – Uppsala,https://www.skiresort.info/ski-resort/sunnerstabacken-uppsala/,Europe > Sweden > Central Sweden
Feistritzsattel – Trattenbach,https://www.skiresort.info/ski-resort/feistritzsattel-trattenbach/,Europe > Austria > Lower Austria (Niederösterreich) > Wiener Alpen > Neunkirchen
Gähwil,https://www.skiresort.info/ski-resort/gaehwil/,Europe > Switzerland > Eastern Switzerland > St. Gallen > Toggenburg
Leirskallen – Oslo,https://www.skiresort.info/ski-resort/leirskallen-oslo/,Europe > Norway > Oslo
Saltisbacken – Saltsjöbaden,https://www.skiresort.info/ski-resort/saltisbacken-saltsjoebaden/,Europe > Sweden > Central Sweden
Ellegglifte – Faistenoy (Oy-Mittelberg),https://www.skiresort.info/ski-resort/ellegglifte-faistenoy-oy-mittelberg/,Europe > Germany > Bavaria (Bayern) > Swabia (Schwaben) > Oberallgäu
Hranice – Boží Dar,https://www.skiresort.info/ski-resort/hranice-bozi-dar/,Europe > Czech Republic > Karlovy Vary Region (Karlovarský kraj)
Les Gentianes – Morbier,https://www.skiresort.info/ski-resort/les-gentianes-morbier/,Europe > France > Franche-Comté > Jura (Département)
Hesselbacher Gletscher – Bad Laasphe,https://www.skiresort.info/ski-resort/hesselbacher-gletscher-bad-laasphe/,Europe > Germany > North Rhine-Westphalia (Nordrhein-Westfalen) > Siegerland-Wittgenstein
Skönviksbacken,https://www.skiresort.info/ski-resort/skoenviksbacken/,Europe > Sweden > Northern Sweden (Norrland) > Västernorrland
Janova Hora,https://www.skiresort.info/ski-resort/janova-hora/,Europe > Czech Republic > Liberec Region (Liberecký kraj)
Basse Ruche,https://www.skiresort.info/ski-resort/basse-ruche/,Europe > Switzerland > Lemanic Region > Waadt
Weissenbach (Alpinwellt),https://www.skiresort.info/ski-resort/weissenbach-alpinwellt/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Tauferer Ahrntal (Valli di Tures e Aurina) > Skiworld Ahrntal
Beartown,https://www.skiresort.info/ski-resort/beartown/,North America > USA > New York > The Adirondacks
Veľké Ostré,https://www.skiresort.info/ski-resort/velke-ostre/,Europe > Slovakia > Žilina (Žilinský kraj)
Engstingen,https://www.skiresort.info/ski-resort/engstingen/,Europe > Germany > Baden-Württemberg > Tübingen (region) > Reutlingen
Foncine le Haut,https://www.skiresort.info/ski-resort/foncine-le-haut/,Europe > France > Franche-Comté > Jura (Département)
Selfranga – Klosters,https://www.skiresort.info/ski-resort/selfranga-klosters/,Europe > Switzerland > Eastern Switzerland > Graubünden > Davos Klosters
Paloisvuori – Iisalmi,https://www.skiresort.info/ski-resort/paloisvuori-iisalmi/,Europe > Finland > East Finland (Pohjois- ja Itä-Suomi) > Northern Savonia (Pohjois-Savo)
Hasamäki,https://www.skiresort.info/ski-resort/hasamaeki/,Europe > Finland > East Finland (Pohjois- ja Itä-Suomi) > Southern Savonia (Etelä-Savo)
Pusterwald,https://www.skiresort.info/ski-resort/pusterwald/,Europe > Austria > Styria (Steiermark) > Murtal
Vålådalens Fjällstation,https://www.skiresort.info/ski-resort/vaalaadalens-fjaellstation/,Europe > Sweden > Northern Sweden (Norrland) > Jämtland
Vardåsen – Borgen (Asker),https://www.skiresort.info/ski-resort/vardaasen-borgen-asker/,Europe > Norway > Akershus
Hanaslöv,https://www.skiresort.info/ski-resort/hanasloev/,Europe > Sweden > South Sweden (Sydsverige) > Kronoberg
Hillpark,https://www.skiresort.info/ski-resort/hillpark/,Russia > Central Russia
Telegraf – Kielce,https://www.skiresort.info/ski-resort/telegraf-kielce/,Europe > Poland > Holy Cross (Województwo świętokrzyskie)
Luggi Leitner Lifts – Scheidegg,https://www.skiresort.info/ski-resort/luggi-leitner-lifts-scheidegg/,Europe > Germany > Bavaria (Bayern) > Swabia (Schwaben) > Lindau (Lake Constance)
Schlossberg – Küstelberg (Medebach),https://www.skiresort.info/ski-resort/schlossberg-kuestelberg-medebach/,Europe > Germany > Central Uplands of Germany (Deutsche Mittelgebirge) > Sauerland
Dole Pri Litiji,https://www.skiresort.info/ski-resort/dole-pri-litiji/,Europe > Slovenia > Osrednjeslovenska (Central Slovenia)
Bukovnik,https://www.skiresort.info/ski-resort/bukovnik/,Europe > Slovenia > Carinthia (Koroška)
Luisino Údolí,https://www.skiresort.info/ski-resort/luisino-udoli/,Europe > Czech Republic > Hradec Králové Region (Královéhradecký kraj)
Schmallenberger Höhe – Schmallenberg,https://www.skiresort.info/ski-resort/schmallenberger-hoehe-schmallenberg/,Europe > Germany > Central Uplands of Germany (Deutsche Mittelgebirge) > Sauerland
Frankenlift – Wurzbach,https://www.skiresort.info/ski-resort/frankenlift-wurzbach/,Europe > Germany > Thuringia (Thüringen) > Saale-Orla County
Gjøvik,https://www.skiresort.info/ski-resort/gjoevik/,Europe > Norway > Oppland
Kozara,https://www.skiresort.info/ski-resort/kozara/,Europe > Bosnia and Herzegovina > Republika Srpska
Planberg- and Wiesenlifte – Pertisau,https://www.skiresort.info/ski-resort/planberg-and-wiesenlifte-pertisau/,Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Schwaz > Achensee
Båsenbergabacken,https://www.skiresort.info/ski-resort/baasenbergabacken/,Europe > Sweden > Central Sweden
Reckingen-Gluringen,https://www.skiresort.info/ski-resort/reckingen-gluringen/,Europe > Switzerland > Lemanic Region > Valais (Wallis) > Obergoms
Bäretswil,https://www.skiresort.info/ski-resort/baeretswil/,Europe > Switzerland > Zürich
Nella – Bartošovice,https://www.skiresort.info/ski-resort/nella-bartosovice/,Europe > Czech Republic > Hradec Králové Region (Královéhradecký kraj)
Lommedalen,https://www.skiresort.info/ski-resort/lommedalen/,Europe > Norway > Akershus
Ersteberg – Masserberg,https://www.skiresort.info/ski-resort/ersteberg-masserberg/,Europe > Germany > Thuringia (Thüringen) > Hildburghausen
Ingierkollen – Kolbotn,https://www.skiresort.info/ski-resort/ingierkollen-kolbotn/,Europe > Norway > Akershus
Lucifer – Josefův Důl,https://www.skiresort.info/ski-resort/lucifer-josefuv-dul/,Europe > Czech Republic > Liberec Region (Liberecký kraj)
Niedernsill,https://www.skiresort.info/ski-resort/niedernsill/,Europe > Austria > Salzburg (Salzburger Land) > Pinzgau
Savivuori – Viitasaari,https://www.skiresort.info/ski-resort/savivuori-viitasaari/,Europe > Finland > West Finland (Länsi-Suomi) > Central Finland
Schmiedhornlift – Wald (Faistenau),https://www.skiresort.info/ski-resort/schmiedhornlift-wald-faistenau/,Europe > Austria > Salzburg (Salzburger Land) > Salzkammergut > Lake Fuschl (Fuschlsee)
Notschrei,https://www.skiresort.info/ski-resort/notschrei/,Europe > Germany > Baden-Württemberg > Freiburg (region) > Hochschwarzwald > Todtnau
Flus,https://www.skiresort.info/ski-resort/flus/,Russia > Ural Federal District > Sverdlovsk
Getberget,https://www.skiresort.info/ski-resort/getberget/,Europe > Sweden > Northern Sweden (Norrland) > Västernorrland
Skalka – Ostrava-Poruba,https://www.skiresort.info/ski-resort/skalka-ostrava-poruba/,Europe > Czech Republic > Moravian-Silesian Region (Moravskoslezský kraj)
Bieliczak – Bielice,https://www.skiresort.info/ski-resort/bieliczak-bielice/,Europe > Poland > Lower Silesia (Województwo dolnośląskie)
Am Gründelwald – Jöhstadt,https://www.skiresort.info/ski-resort/am-gruendelwald-joehstadt/,Europe > Germany > Saxony (Sachsen) > German Ore Mountains (Deutsches Erzgebirge)
Gorka48 – Lipetsk,https://www.skiresort.info/ski-resort/gorka48-lipetsk/,Russia > Central Russia
Niestachów,https://www.skiresort.info/ski-resort/niestachow/,Europe > Poland > Holy Cross (Województwo świętokrzyskie)
Avasaxa – Dorotea,https://www.skiresort.info/ski-resort/avasaxa-dorotea/,Europe > Sweden > Northern Sweden (Norrland) > Västerbotten
Nimchych,https://www.skiresort.info/ski-resort/nimchych/,Europe > Ukraine
Ski-Club Rhön Fulda – Schwedenschanze (Simmelsberg),https://www.skiresort.info/ski-resort/ski-club-rhoen-fulda-schwedenschanze-simmelsberg/,Europe > Germany > Hesse (Hessen) > Kassel (region) > Fulda
Akabane,https://www.skiresort.info/ski-resort/akabane/,Asia > Japan > Honshu > Tōhoku > Iwate
Bukovytsia – Boryslav,https://www.skiresort.info/ski-resort/bukovytsia-boryslav/,Europe > Ukraine > Lviv
Szczecińska Gubałówka – Szczecin,https://www.skiresort.info/ski-resort/szczecinska-gubalowka-szczecin/,Europe > Poland > West Pomerania (Województwo zachodniopomorskie)
Ruosniemi,https://www.skiresort.info/ski-resort/ruosniemi/,Europe > Finland > West Finland (Länsi-Suomi) > Satakunta
Świeradowiec,https://www.skiresort.info/ski-resort/swieradowiec/,Europe > Poland > Lower Silesia (Województwo dolnośląskie)
Varkaus,https://www.skiresort.info/ski-resort/varkaus/,Europe > Finland > East Finland (Pohjois- ja Itä-Suomi) > Northern Savonia (Pohjois-Savo)
Krinau,https://www.skiresort.info/ski-resort/krinau/,Europe > Switzerland > Eastern Switzerland > St. Gallen > Toggenburg
Kordes,https://www.skiresort.info/ski-resort/kordes/,Europe > Latvia
Mezihoří,https://www.skiresort.info/ski-resort/mezihori/,Europe > Czech Republic > Ústí nad Labem Region (Ústecký kraj)
U řeky – Nové Hamry  (temporarily closed),https://www.skiresort.info/ski-resort/u-reky-nove-hamry/,Europe > Czech Republic > Karlovy Vary Region (Karlovarský kraj)
Babica,https://www.skiresort.info/ski-resort/babica/,Europe > Poland > Subcarpathian Voivodeship (Województwo podkarpackie)
Urasa Kokusai,https://www.skiresort.info/ski-resort/urasa-kokusai/,Asia > Japan > Honshu > Chūbu > Niigata
Siebenseelift – Wildalpen,https://www.skiresort.info/ski-resort/siebenseelift-wildalpen/,Europe > Austria > Styria (Steiermark) > Hochsteiermark
Fajtův kopec – Velké Meziříčí,https://www.skiresort.info/ski-resort/fajtuv-kopec-velke-mezirici/,Europe > Czech Republic > Vysočina Region (Kraj Vysočina)
Memuro,https://www.skiresort.info/ski-resort/memuro/,Asia > Japan > Hokkaido
Baienberg – Reuthe,https://www.skiresort.info/ski-resort/baienberg-reuthe/,Europe > Austria > Vorarlberg > Bregenz > Bregenzerwald
Fischbach (Ummendorf),https://www.skiresort.info/ski-resort/fischbach-ummendorf/,Europe > Germany > Southern Germany > Oberschwaben Allgäu
Kohleck (Waldzell),https://www.skiresort.info/ski-resort/kohleck-waldzell/,Europe > Austria > Upper Austria (Oberösterreich) > Innviertel > Ried im Innkreis
Kiev – Protasov yar,https://www.skiresort.info/ski-resort/kiev-protasov-yar/,Europe > Ukraine
Indian Lake,https://www.skiresort.info/ski-resort/indian-lake/,North America > USA > New York > The Adirondacks
Karsee (Wangen im Allgäu),https://www.skiresort.info/ski-resort/karsee-wangen-im-allgaeu/,Europe > Germany > Southern Germany > Oberschwaben Allgäu
Khoshakoo,https://www.skiresort.info/ski-resort/khoshakoo/,Asia > Iran
Zbraslav u Brna,https://www.skiresort.info/ski-resort/zbraslav-u-brna/,Europe > Czech Republic > South Moravian Region (Jihomoravský kraj)
Pokljuka – Goreljek,https://www.skiresort.info/ski-resort/pokljuka-goreljek/,Europe > Slovenia > Gorenjska (Upper Carniola)
Little Mac – Mackenzie,https://www.skiresort.info/ski-resort/little-mac-mackenzie/,North America > Canada > British Columbia > Northern British Columbia > Fraser-Fort George
Hausberglift – Waidring,https://www.skiresort.info/ski-resort/hausberglift-waidring/,Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Kitzbüheler Alpen > Pillersee Valley (Pillerseetal)
Schwannerlift – Weerberg,https://www.skiresort.info/ski-resort/schwannerlift-weerberg/,Europe > Austria > Tyrol (Tirol) > Silberregion Karwendel
Spielberg – Obernhausen,https://www.skiresort.info/ski-resort/spielberg-obernhausen/,Europe > Germany > Hesse (Hessen) > Kassel (region) > Fulda
Čarták – Soláň-Sedlo,https://www.skiresort.info/ski-resort/cartak-solan-sedlo/,Europe > Czech Republic > Zlín Region (Zlínský kraj)
Lamm – Kniebis,https://www.skiresort.info/ski-resort/lamm-kniebis/,Europe > Germany > Baden-Württemberg > Schwarzwaldhochstrasse
Morávka Sviňorky  (temporarily closed),https://www.skiresort.info/ski-resort/moravka-svinorky/,Europe > Czech Republic > Moravian-Silesian Region (Moravskoslezský kraj)
Betania,https://www.skiresort.info/ski-resort/betania/,Asia > Georgia
Yaremche,https://www.skiresort.info/ski-resort/yaremche/,Europe > Ukraine
Vallberget – Strömsund,https://www.skiresort.info/ski-resort/vallberget-stroemsund/,Europe > Sweden > Northern Sweden (Norrland) > Jämtland
Kalitos Kalnas – Anykščiai,https://www.skiresort.info/ski-resort/kalitos-kalnas-anyksciai/,Europe > Lithuania > Utena
Röthenhang – Neuschleichach (Oberaurach),https://www.skiresort.info/ski-resort/roethenhang-neuschleichach-oberaurach/,Europe > Germany > Bavaria (Bayern) > Franken (Franconia) > Steigerwald
Veterans Memorial – Franklin,https://www.skiresort.info/ski-resort/veterans-memorial-franklin/,North America > USA > New Hampshire
Hoedown Hill – Windsor,https://www.skiresort.info/ski-resort/hoedown-hill-windsor/,North America > USA > Colorado
Orawka – Jabłonka,https://www.skiresort.info/ski-resort/orawka-jablonka/,Europe > Poland > Lesser Poland (Województwo małopolskie)
Jannebacken – Stugun,https://www.skiresort.info/ski-resort/jannebacken-stugun/,Europe > Sweden > Northern Sweden (Norrland) > Jämtland
Horbova,https://www.skiresort.info/ski-resort/horbova/,Europe > Ukraine
The Ridge – Le Roy,https://www.skiresort.info/ski-resort/the-ridge-le-roy/,North America > USA > New York > Greater Niagara
Wolf Mountain – Volchikha (Rewda),https://www.skiresort.info/ski-resort/wolf-mountain-volchikha-rewda/,Russia > Ural Federal District > Sverdlovsk
Lumiparkki – Kivikko  (temporarily closed),https://www.skiresort.info/ski-resort/lumiparkki-kivikko/,Europe > Finland > Southern Finland (Etelä-Suomi) > Uusimaa (Helsinki)
Chill Factore – Manchester (indoor ski area),https://www.skiresort.info/ski-resort/chill-factore-manchester/,Europe > United Kingdom > England > North West England
Hedelands Skicenter,https://www.skiresort.info/ski-resort/hedelands-skicenter/,Europe > Denmark
Bialy Potok,https://www.skiresort.info/ski-resort/bialy-potok/,Europe > Poland > Lesser Poland (Województwo małopolskie)
Jáchymov Střed  (temporarily closed),https://www.skiresort.info/ski-resort/jachymov-stred/,Europe > Czech Republic > Karlovy Vary Region (Karlovarský kraj)
Hanslmühle – Mauern  (temporarily closed),https://www.skiresort.info/ski-resort/hanslmuehle-mauern/,Europe > Germany > Bavaria (Bayern) > Upper Bavaria (Oberbayern) > Freising
Alfaierlift – Gschnitz,https://www.skiresort.info/ski-resort/alfaierlift-gschnitz/,Europe > Austria > Tyrol (Tirol) > Innsbruck > Innsbruck-Land > Wipptal
Hoher Meissner – Eschwege/​Hessisch Lichtenau,https://www.skiresort.info/ski-resort/hoher-meissner-eschwegehessisch-lichtenau/,Europe > Germany > Hesse (Hessen) > Kassel (region) > Werra-Meißner County
Vedbobacken – Västerås,https://www.skiresort.info/ski-resort/vedbobacken-vaesteraas/,Europe > Sweden > Central Sweden
Gwynne Valley,https://www.skiresort.info/ski-resort/gwynne-valley/,North America > Canada > Alberta > Central Alberta
Hotz – Oberweng (Spital am Pyhrn),https://www.skiresort.info/ski-resort/hotz-oberweng-spital-am-pyhrn/,Europe > Austria > Upper Austria (Oberösterreich) > Steyr-Kirchdorf > Kirchdorf an der Krems > Pyhrn-Priel
Passo Penice,https://www.skiresort.info/ski-resort/passo-penice/,Europe > Italy > Emilia-Romagna
Schorschi-Lifte – St. Georgen am Walde,https://www.skiresort.info/ski-resort/schorschi-lifte-st-georgen-am-walde/,Europe > Austria > Upper Austria (Oberösterreich) > Mühlviertel > Perg
Horní Vltavice,https://www.skiresort.info/ski-resort/horni-vltavice/,Europe > Czech Republic > South Bohemian Region (Jihočeský kraj)
Zásada,https://www.skiresort.info/ski-resort/zasada/,Europe > Czech Republic > Liberec Region (Liberecký kraj)
Wasen im Emmental,https://www.skiresort.info/ski-resort/wasen-im-emmental/,Europe > Switzerland > Espace Mittelland > Bern > Emmental
